03/04/2012        -37.4     -04.3          9,13      9,25      9,26      9,79     10,35     10,75     10,21      9,60      8,23      7,66      7,30      7,31     10,21      8,72      8,19      7,54      8,33      9,07     10,18     10,88     10,93     11,64     12,47     13,02     12,96     12,57     12,40     12,33     11,91     11,57     11,42     11,17     11,18     11,00     10,82     10,34      9,82      9,53      9,34      9,03      8,51      8,60      9,37     10,39     11,18     11,87     11,86     11,98     12,17     12,20     12,13     12,14     11,92     11,82     11,71     11,48     11,22     10,86     10,51     10,05      9,57      9,08      8,67      8,44      8,48      8,90      9,30      9,67     10,20     10,84     11,23     11,14     10,99     10,84     10,60     10,41     10,07      9,72      9,38      9,04      8,97      9,08      9,14      9,29      9,43      9,39      9,28      8,95      8,86      9,13      9,51      9,74      9,83     10,04     10,22     10,37     10,24     10,24     10,01      9,64      9,34      8,97      8,83      8,67      8,34      7,81      7,50      7,13      6,81      6,75      6,72      6,70      6,56      6,64      7,04      7,30      7,40      7,36      7,46      7,38   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
04/04/2012        -37.4     -04.3          9,23      9,05      8,64      8,36      7,90      7,90      7,77      8,00      8,31      8,93      8,52      8,51      8,92      9,63      9,43      9,25      9,28      9,89     10,50     11,41     11,61     11,98     12,69     13,20     13,46     13,15     13,24     13,40     13,37     13,41     13,21     12,63     11,94     11,45     11,37     11,04     10,64      9,85      9,03      8,22      7,71      7,00      6,99      7,30      7,81      8,63      9,70     10,13     10,47     11,44     11,91     11,41     10,67     10,36      9,92      9,74     10,03     10,16      9,88      9,72      9,63      9,32      8,92      8,70      8,76      9,06      9,57      9,73      9,76      9,99     10,11      9,82      9,56      9,18      8,51      7,89      7,36      7,13      7,27      7,42      7,74      7,83      7,65      7,33      6,94      6,92      7,01      7,33      7,57      8,04      8,42      8,65      8,87      9,04      8,84      8,61      8,52      8,46      8,33      7,92      7,59      7,46      7,41      7,13      6,83      6,55      6,39      6,42      6,38      6,37      6,23      6,16      6,17      6,46      6,91      7,25      7,93      8,78      9,33      9,52   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
05/04/2012        -37.4     -04.3          9,43      9,79      9,99     10,39     11,09     11,57     11,24     10,91     10,30      9,85      9,33      9,49     11,96     10,73     10,61     10,30     10,85     11,03     11,91     12,16     11,74     11,38     11,22     10,95     11,14     10,92      9,90      9,78     10,55     10,60     10,19     10,22      9,70      9,49      9,10      8,89      8,67      8,51      8,46      7,70      7,29      7,13      7,35      7,91      8,65      9,30     10,02     10,43     10,79     10,99     10,98     10,70     10,44     10,48     10,12      9,86      9,68      9,54      9,15      8,32      7,89      7,68      7,52      7,42      7,31      7,39      7,85      8,00      8,22      8,49      9,24      9,89     10,18     10,18      9,96      9,60      9,12      9,01      8,88      8,97      9,23      9,02      9,00      8,84      8,64      8,41      7,95      7,53      7,46      7,53      7,81      7,89      8,07      8,59      9,03      9,27      9,43      9,24      9,00      8,01      6,94      5,98      6,20      6,93      8,08      8,33      7,69      7,48      7,57      7,46      7,52      7,44      8,18      9,73      9,71      9,91     10,15     10,40     10,65     10,83   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
06/04/2012        -37.4     -04.3    
07/04/2012        -37.4     -04.3          8,73      9,28      9,30      8,97      8,76      8,54      8,02      7,93      7,27      7,12      6,29      6,17      8,73      7,74      7,06      6,68      6,77      6,68      6,94      7,68      8,12      8,50      8,82      8,75      8,64      8,81      9,00      9,42      9,75     10,04     10,54     11,09     10,89     11,06     11,04     11,22     10,69      9,86      9,27      8,80      8,73      8,98      9,61     10,71     11,55     12,00     12,62     13,56     13,89     14,10     13,87     13,31     12,70     12,65     12,45     12,12     11,74     11,03      9,87      8,37      7,64      7,84      8,35      8,69      8,27      8,26      8,51      9,19     10,43     11,67     12,59     13,29     13,79     13,66     13,01     12,22     11,48     11,03     10,45      9,72      8,93      8,14      8,24      8,82      8,71      8,81      8,94      8,83      9,29     10,12     11,01     11,41     11,73     12,41     12,56     12,45     12,46     12,33     12,25     11,78     11,51     11,28     11,09     10,83     10,56     10,23      9,70      9,17      8,57      7,74      6,76      6,00      5,75      6,01      6,64      7,38      8,26      9,25     10,36     11,13   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
08/04/2012        -37.4     -04.3          8,39      9,26      8,95      8,84      8,89      9,18      8,93      8,94      8,42      7,81      7,22      7,38      9,28      7,62      7,54      7,67      8,07      8,92      8,99      8,40      8,52      9,23     10,24     11,11     11,82     12,12     12,24     11,97     11,69     11,65     11,78     11,77     11,91     12,06     11,92     11,63     11,36     10,53      9,88      9,43      8,84      8,43      8,43      8,34      8,70      9,64     10,95     12,40     14,11     15,26     15,59     15,18     13,95     12,79     11,92     11,09     10,47     10,05      9,70      9,38      9,07      8,57      7,92      7,45      6,96      7,03      7,65      8,70     10,09     11,26     12,44     13,03     13,39     13,69     13,92     13,52     12,96     12,57     12,14     11,69     11,20     10,96     10,54     10,26      9,72      8,77      7,71      6,86      6,34      6,22      6,39      6,85      7,55      8,56      9,53     10,59     11,48     11,88     11,68     10,88     10,03      9,37      8,98      9,03      9,01      8,67      8,22      7,74      7,35      7,18      7,04      7,02      7,15      7,63      8,18      8,65      9,15      9,61      9,68      9,36   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
09/04/2012        -37.4     -04.3          9,87      9,65      9,18      9,08      9,74     11,16     11,25     11,14      9,89      9,11      9,06      8,16      8,49      7,81      7,28      7,33      7,49      7,93      9,65     10,63     10,29     10,78     11,80     12,19     11,69     11,44     11,46     11,42     10,89     10,62     10,75     10,56     10,47     10,44     10,42     10,23      9,69      9,07      8,60      8,34      8,57      9,18     10,00     10,33     11,01     11,63     11,56     11,39     11,81     12,11     12,60     13,19     12,92     12,54     12,10     11,71     11,31     10,98     10,62     10,04      9,20      8,50      7,86      7,23      6,77      6,77      7,24      7,81      8,18      8,87      9,47      9,93     10,36     10,85     11,12     10,89     10,52     10,25     10,10      9,93      9,60      9,11      8,49      7,83      7,22      6,67      6,35      5,98      5,72      6,05      6,81      7,52      8,18      8,79      9,29      9,81     10,27     10,40     10,29      9,99      9,68      9,30      8,98      8,92      8,74      8,43      8,03      7,78      7,53      7,37      7,11      6,80      6,78      6,93      7,23      7,57      7,84      8,16      8,16      7,76   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
10/04/2012        -37.4     -04.3          9,17      9,21      8,70      8,45      8,73      9,25      9,71      9,32      8,97      8,77      8,02      8,30      9,86      9,55      9,53      9,21      9,76      9,71     10,27     11,43     12,11     12,07     11,56     11,62     11,95     12,07     12,01     12,12     12,10     12,23     12,28     12,17     12,11     11,80     11,41     11,04     10,51      9,87      9,12      8,63      8,05      7,48      7,45      7,85      8,53      9,45     10,89     12,19     13,31     13,70     13,54     12,92     11,77     10,68      9,79      8,75      7,62      6,72      6,24      6,08      5,59      5,17      5,01      5,16      5,63      6,15      6,62      7,06      7,25      7,63      8,09      8,40      8,58      8,86      9,10      8,96      8,79      8,68      8,38      7,83      7,43      7,61      7,58      7,20      6,80      6,40      6,18      5,90      6,03      6,69      7,40      7,95      8,19      8,43      8,70      8,52      7,92      7,55      7,43      7,34      7,23      7,00      6,67      6,39      6,24      6,22      6,44      6,42      6,11      5,71      5,55      5,50      5,59      5,93      6,41      6,97      7,37      7,84      8,15      8,18   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
11/04/2012        -37.4     -04.3          9,18      9,30      8,78      8,52      8,35      8,95      8,22      7,94      7,73      7,79      7,12      6,97      7,55      8,70      8,48      7,74      8,17      8,01      8,67      9,50     10,33     10,23      9,83     10,69     11,46     11,47     11,75     11,71     11,28     10,98     10,90     10,75     10,32      9,95      9,54      9,24      8,90      8,50      7,90      7,30      6,99      6,85      7,00      7,37      8,09      9,26     10,70     10,58     10,13     10,43     10,72     10,46     10,26     10,08      9,73      9,19      8,57      7,91      7,41      7,12      6,71      6,24      5,91      5,58      5,28      5,64      6,67      7,77      8,54      9,05      9,63      9,95     10,12     10,30     10,07      9,62      9,34      9,06      8,67      8,30      7,84      7,58      7,45      7,25      7,11      7,08      7,25      7,29      7,37      7,68      8,15      8,59      9,13      9,72     10,32     10,46     10,34     10,09      9,53      8,84      8,75      8,92      8,58      8,15      8,26      8,54      8,56      8,08      7,59      7,26      7,21      7,17      7,38      7,87      8,40      8,86      9,15      9,39      9,75      9,98   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
12/04/2012        -37.4     -04.3          7,32      8,01      7,56      6,69      6,85      8,07      8,41      8,78      8,73      8,81      8,43      8,44      8,40      8,45      7,68      6,73      6,86      6,35      6,39      7,45      8,52      8,80      8,46      9,53     10,49     10,95     10,98     11,23     11,24     10,99     10,53      9,73      9,21      8,53      8,38      8,22      7,81      7,28      7,15      7,40      7,51      7,23      7,32      7,74      8,35      9,28     10,32     10,84     11,40     11,55     11,50     11,30     10,83     10,14      9,47      8,83      8,29      7,79      7,17      6,52      6,24      6,24      6,64      7,25      7,85      8,75      9,80     10,64     11,01     11,36     11,48     11,36     11,17     11,21     10,98     10,58     10,17      9,83      9,60      9,24      8,91      8,76      8,68      8,43      8,27      8,20      8,45      8,79      9,29      9,60      9,23      8,65      8,74     10,02     10,40     10,25     10,14     10,14     10,12      9,96      9,60      9,22      8,97      8,77      8,49      8,43      8,37      8,05      8,00      8,06      8,06      8,55      8,87      9,31      9,83     10,19     10,36     10,20      9,04      8,25   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00   -999,00
