sen(2PIn/T);Cos(2PIn/T);1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;
0;1;;;;;;;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;
0,039;0,999;;;;;;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;
0,083;0,997;;;;;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;
0,126;0,992;;;;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;22,049;
0,169;0,986;;;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;22,049;22,872;
0,212;0,977;;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;22,049;22,872;21,862;
0,259;0,966;;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;22,049;22,872;21,862;20,54;
0,297;0,955;;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;22,049;22,872;21,862;20,54;19,578;
0,338;0,941;;;;;;;;;;;35,448;35,018;33,392;30,553;28,784;27,289;27,164;27,005;24,724;24,519;24,332;24,963;24,427;23,032;25,141;16,263;25,787;17,66;10,011;3,9083;13,003;14,73;16,541;17,332;13,305;9,7527;27,12;35,344;21,703;13,294;10,157;12,091;14,588;11,172;11,118;12,187;10,21;10,054;8,2767;10,666;11,987;11,109;9,2008;9,7965;11,491;11,815;12,968;12,583;13,941;10,839;11,121;9,6035;10,739;12,282;10,264;10,274;9,01;7,2762;6,1302;5,2159;7,0246;6,1031;5,0344;3,471;2,565;1,8136;1,0825;2,5677;3,8911;5,6633;5,9767;5,8996;11,103;10,543;6,916;6,4498;5,8033;5,8993;6,9146;6,1782;7,5494;6,4057;6,1645;6,1106;5,7043;4,5073;4,4875;4,6108;4,8083;4,5146;4,5258;5,3619;4,3838;4,0311;5,3748;6,0904;6,3556;6,5972;6,7555;7,1543;7,192;7,7921;8,6107;9,4987;10,2;10,155;10,983;12,404;16,082;18,794;23,398;25,406;26,785;26,525;24,761;24,138;27,48;29,647;26,581;24,425;26,705;27,667;27,099;31,251;32,996;31,801;31,659;31,58;31,687;34,084;34,838;32,762;32,4;34,089;37,329;39,847;45,826;44,751;42,056;40,47;37,889;40,881;40,88;40,939;37,934;37,825;41,612;39,732;35,892;40,509;44,378;44,389;40,025;38,609;36,065;36,841;35,469;39,038;40,591;43,921;40,487;43,379;43,476;42,887;42,134;43,026;43,306;39,212;32,169;32,374;31,485;30,136;28,947;29,782;30,677;28,298;30,363;34,708;22,102;7,9379;3,9606;4,7427;14,003;14,732;11,004;9,2271;9,3524;9,7495;10,606;10,025;10,573;9,8926;8,0601;5,9853;10,212;10,333;11,574;12,694;10,414;7,5192;5,1474;3,5595;1,4137;0,66117;1,6204;5,4161;7,7116;10,263;11,58;13,649;15,556;15,326;14,358;13,632;15,239;11,039;11,947;16,784;16,901;17,306;17,902;20,451;20,843;19,877;22,021;23,842;22,286;21,056;23,262;19,624;18,922;19,315;17,43;20,22;22,137;21,711;21,135;20,516;22,839;24,352;22,705;20,613;22,049;22,872;21,862;20,54;19,578;18,33;
