sen(2PIn/T);Cos(2PIn/T);1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;
0;1;;;;;;;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;
0,039;0,999;;;;;;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;
0,083;0,997;;;;;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;
0,126;0,992;;;;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;28,073;
0,169;0,986;;;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;28,073;28,158;
0,212;0,977;;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;28,073;28,158;27,633;
0,259;0,966;;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;28,073;28,158;27,633;26,41;
0,297;0,955;;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;28,073;28,158;27,633;26,41;23,522;
0,338;0,941;;;;;;;;;;;36,91;38,153;39,391;33,442;31,923;31,011;30,649;30,155;25,946;25,203;27,873;27,823;28,858;27,047;29,371;20,992;30,75;23,844;13,17;11,126;21,675;19,323;23,578;23,096;15,947;16,227;38,52;41,753;26,46;17,96;15,58;13,297;13,931;13,564;12,375;13,625;12,023;8,8207;11,642;15,989;16,513;16,209;15,903;14,198;12,801;14,777;17,727;17,791;13,01;14,102;14,359;13,469;13,511;12,513;10,09;9,2196;7,422;5,4494;4,4405;5,1084;7,1465;7,7917;7,0244;5,9548;3,4293;2,6005;1,8646;4,0837;6,1864;8,1695;8,0258;7,1536;11,565;10,697;8,6563;6,8422;6,6898;6,6876;7,0476;6,4255;9,0508;8,9347;7,6436;7,0125;7,2204;6,1468;6,0552;6,0337;5,9012;4,7898;5,5294;6,6221;4,7534;4,0307;6,6846;7,3655;7,8478;8,2491;7,6141;9,13;9,4346;10,095;10,924;12,105;12,583;11,379;13,442;16,509;20,705;23,26;27,814;31,21;32,063;31,234;29,643;30,237;29,876;32,9;32,655;30,879;32,457;32,235;32,692;37,506;38,168;39,664;40,576;40,732;43,105;46,635;47,502;43,251;44,902;44,742;45,35;49,571;49,485;52,186;49,666;47,186;50,545;48,386;46,194;45,857;46,728;45,449;46,343;44,456;47,574;51,582;49,446;47,274;45,559;44,622;44,882;42,33;39,984;40,962;48,236;49,547;46,447;42,528;42,969;45,51;47,391;48,989;43,574;38,033;37,233;36,528;33,388;31,895;29,432;31,421;31,869;40,239;41,518;30,232;12,082;4,534;4,3466;11,137;12,686;10,753;12,352;12,926;8,335;7,2371;10,649;14,978;16,629;14,406;12,504;10,786;18,132;17,942;15,56;15,747;15,562;11,831;8,9775;4,7771;1,7893;0,99965;2,2488;5,8053;7,7351;10,576;12,096;12,78;15,512;15,953;13,87;14,521;16,195;11,229;13,529;16,581;18,048;20,329;21,049;22,568;26,424;25,278;27,776;28,183;28,197;28,432;29,505;24,743;22,687;21,722;20,721;23,732;26,825;26,04;24,546;25,058;27,615;29,298;28,655;28,403;28,073;28,158;27,633;26,41;23,522;21,694;
